label,review
1,这一天过的真快！不光自己跑了一下午，回家一看，看电影的看了电影，出国旅游的去旅了游，聚餐的去聚了餐.... 大家都很充实愉快呀[鼓掌] 我非常嗨森[哈哈]
1,刚刚有朋友在微信圈里头分享，很赞。#文字也能开出花来。#//@何文文在南方: 真棒，我喜欢//@邹莹豆: //@王左中右: 我喜欢[鼓掌]
0,回复@DJ肖桐:百变女郎 //@DJ肖桐:瞎改啥啊 //@美美1079:[衰] 化成灰我也认识你。
1,好啊，老鬼没白写！[嘻嘻]//@自由鸟zxh: 回复@俺叫老鬼:慢慢的对吐鲁番有了新的认识。
0,【#陈慧琳#哭诉两年前双胞胎流产 痛到流血[可怜]】Kelly陈慧琳日前接受访问，讲述其伤心往事：2011年，她曾向媒体公布喜讯，表示已怀孕约三个月，不料怀孕5个月时，双胞胎女儿流产！“我一直都睡不好，痛到睡不着..也想强制留住她们，可能没有这样健康..”#想念是会呼吸的痛#[泪]http://t.cn/zRNGsuf
0,一直分不清[晕]
0,呀！上帝呀。这个有地方能学吗[抓狂] //@一弛: @孟陌陌 @王乱子 @大仙女罗? //@曹涤非:[晕][偷笑][酷] //@century99:无语了！
1,见者有份啊[嘻嘻] //@徐涛jason:哈哈，确有此事！西门同学，地方你定；愿赌服输。还是很佩服你的眼光的[good]
1,网友的大作而已[嘻嘻]//@草堂主人李广祯: 是预言还是巧合！[?]//@新余李虹: 大数据时代。[嘻嘻]
1,咱家咖啡馆一岁啦[爱你][哈哈]恭喜啊[爱你]可惜我这几天没住东四要不一定过去大吃大喝的庆祝[偷笑]为山区孩纸捐午餐，多请大家关注啊[爱你][爱你][帅][爱心传递]
1,帝都今日又好天[太开心] 我在这里:http://t.cn/z8A66vn
1,下班拐去莫船长的渔船那买了条虎鲨，这个季节100元一斤，这条一斤半。[鼓掌]头尾炖汤，身子清蒸，味道好极啦！[馋嘴]感觉鲨鱼里面就虎鲨的味道最好[亲亲]
1,#普吉?吴哥#昨晚住在公主酒店，普吉特色是早晨开门门口有几只大虫子欢迎我[哈哈][哈哈][哈哈]普吉到天气只有三种：热、很热、非常热。很幸运我们在非常热的季节来到了这里[哈哈][哈哈][哈哈]早上好，今天的烈日艳阳！@北京迈途国际旅行社有限公司 @新鲜旅 @EVA巍 @小静yy
1,[围观][围观][围观][鼓掌][鼓掌][鼓掌] //@王岗KngG:低调奢华有内涵！[嘻嘻][嘻嘻][给力]
1,[嘻嘻]功夫“挤挤”一堂。http://t.cn/zj6O6EL
1,[鼓掌][鼓掌] 西宁开唱！！//@蛮有味:很不错的声音
0,册那！这太变态了吧[怒][怒][怒] //@HN_Cyrinda: 在中?生活真不省心啊。。。。什麽都要懂啊。。。。//@weitingz: @I_am_a_PIG_tt_de_PIG //@焦糖兔子: mb中国人智慧都用在这里了啊？！[怒]@JamoWoo 车子开个几年也不要修了，直接换了只能。
0,幸好没把偶滴睡相拍下来[汗] 我左脚脚后跟韧带拉伤[泪] 疼死[泪] 我残了[泪][泪][泪]
1,#聚点精品推荐# 鲜香无比的聚点羊肉串儿～[太开心] 喜欢就来吧～
0,我饿，饿醒了，居然~[泪]
1,@中凯豪生酒店 [鼓掌][鼓掌][鼓掌]
0,@带着青蛙去英国 @Eva_Qian_Li 围观啊必须的//@毓书小胖纸: 我一定要去看看妖男//@Lady曲曲: 天阿 我竟然要错过这个大事！！[泪]@彭肖肖 @毓书小胖纸 @Wendy文文 @yvette是大脸儿娃 @C_Shou @Alissa莎 这简直跟Radiohead演唱会取消了一样让人桑心！！！！！//@Mio芯草: [??]......
0,总是经历一些神奇的事，唏嘘之后，还得前行。[衰][怒]
0,是吗是吗是吗？[泪][泪]//@HAIT: @Monica_2007 [偷笑]
0,[泪]俺们家也是西南啊。。啊。。啊。。
0,妖风哈哈哈，亲切伐~你说好带我回去吃扬州炒饭两个蛋饭，从去年到今年~~[抓狂] [泪] //@小鹿儿儿儿儿儿儿儿:@徐晓媛Monica [泪] //@Queenie_nini: 泪奔了。
1,在做头发，做出来是什么样子呢？期待[可爱]
0,//@小么司：一起腐败吧！//@夏兔兔兔兔：心狠手辣啊[衰] //@thewindwind:过于恐怖// @吟云地盘 ：转发微博。
1,当建筑系绘画遇到禽兽系绘画[哈哈][嘻嘻]@丫丫鱼画画 @毛虫GG 我在这里:http://t.cn/zj5hAg2
0,回复@VIPS:我可没这种经历[衰] //@VIPS:别哭啊，小魔女。这部电影确实很容易让人联想到自己的故事啊[泪流满面]
1,谢谢羞羞姑姑，大颂舅舅[嘻嘻][嘻嘻]
0,老天都想让我休息？莫名电脑就坏了~说是主板坏了，早知今就在家休息休息了，严重感冒中[衰]
1,老徐，每样来一份打包送魔都！[可爱] //@京西老徐: 你信是我来的吗？@我打败过奥特曼
1,@郭伟111 @郭晋info @郭典008  //@乔本文:[嘻嘻]@北京艺融国际拍卖 //@艺术跟踪://@方力钧: //@长江汇当代艺术中心:转发
1,@孙丽婵 帮我暗箱一台[嘻嘻]
1,我哭得比女主角??害[鼓掌]//@SyreetaSik: 太?人了 [花心]//@??的部落: 超感人啊，我看?也忍不住?他?流下感?的眼??，祝??一?小情人白?到老!永?同心!![心]//@啾咪啾咪每每阿姨: 我看??播的//@Joyce_景?:好棒的影片 要幸福喔[心]//@Karen茄?: 好感?!![心]
0,//@狮鸢sonny: 都想要！！！！特别是那个熊[泪]
1,[鼓掌]...早
0,//@松原:[怒] //@马元:帮转，求目击者线索！ //@董大可ddk:就应该取缔电动车！太危险了！ //@贾延龙:大家看看 //@winnie汪汪:转发微博
1,@YUI-ZYT  明年表演这个[哈哈]//@电影集结号:林宥嘉《说谎》手机吉他教程
1,啥时来做回猫星人？项目怎样了？[呵呵][呵呵] //@?子千?:有喵星人的陪伴，来杯蓝山咖啡单品，别样风景，灵舍不同~[咖啡] //@糖哥-咖啡大佬老冯: [good][good][good][good][咖啡][咖啡][咖啡][咖啡]，还有倩碧！[哈哈][哈哈]
0,终于更新了[泪]
0,笫一天拍?！笫一个?探班的是?雅芬！?意思！人不如?~衣不如新啊~ 正在感动中~?好眼?没掉出来~ ?位太太一?口：哎哟！我家就在隔壁！正要去?菜??啦！穿的很?蹋?拍刭我啦！[失望][抓狂][哼][哼][哼]
0,[鼓掌]终于有人说实话了！ //@天上凡人--高小东:[怒] 我容易吗？//@糊涂妞儿Ivy:你说你至于吗？就为了不想做这菜，你都跑广州去了！[怒] //@天上凡人--高小东: [哈哈][哈哈][哈哈][哈哈] //@糊涂妞儿Ivy:哇靠！你个缺德带冒烟的，这个时间发这个给我[抓狂] //@天上凡人--高小东: @糊涂妞儿Ivy  //
1,拉筋?肥?肥膏是??年後的法?[哈哈][给力]，三天後我再上?我的照片，肯定瘦很多[嘻嘻]
1,今天有北京电视台记者来拍摄，真的好开心，希望他们都会喜欢我们老街兔盐帮菜！！[嘻嘻][嘻嘻][可爱]
0,[怒]要能把新浪微博关了，我也就关了。这破玩意还不能关闭不能取消。跟我的2224位粉丝们通报一声：我已经申请去掉V了，将来擦肩而过看看还有谁能认得我。
1,跟人聊天的最大好处就是可以整理自己的思路[哈哈]
0,[怒] 哼，我这就去剪！！！ //@雅阁橱柜源庚i_茵茵:@真真Estrela //@靡宝://@?大汗:看那?冽的眼神，唏?的?型[兔子]  //@蓝紫青灰:[爱你] 看一遍笑一遍，@风大汗 @吴十六 //@庄雅婷:川久保玲！侬肿么了！！！
1,//@__木景紫_:@BAAC-祖崴   @饭团啃拖鞋   @那敢情好了   //@宾格瑞香蕉牛奶:#新春欢乐享不停#宾格瑞春节活动第一期中奖名单已经公布了，预计下周开始送货，你们期待奖品吗？[抱抱]
1,亲~在转发抽奖之余~表忘记每周一三五早上来我们酒店门口~打打太极拳~舒活舒活筋骨~抖擞抖擞精神~在贴秋膘儿的同时~也要锻炼身体呦~[亲亲]
0,#一句话比惨# Miss Pan喜欢研究闺蜜的头发，只要发现一根分叉就大惊小怪，每次都被鄙视没见过世面，还说再这样就跟我绝交……Miss Pan要在地上写个“惨”字[泪] 详情:http://t.cn/z8aa87o
0,周末的大好心情就被一辆保时捷搞坏，开保时捷了不起啊，不就一土包子，一点素质都没，逼得姐想大骂人，怎么还不去屎，祈祷你开车时出意外，哼！[怒骂][怒骂][弱][弱]
1,谢谢光临和喜欢，卢米埃四月整月都会放映张国荣经典影片，请随时关注！[嘻嘻][嘻嘻]
0,重庆火锅真心不辣 重庆啤酒好多气[泪] 我在:http://t.cn/zTxPLSh
1,谢娜才回归@吴昕 又为何缺席？@华晨宇yu ＂火星歌＂被@谢娜 @李维嘉 破解？现场尴尬@何炅 @杜海涛Hito 展开＂瘦螳螂＂和＂胖蛤蟆＂之战，战况激烈使何老师中途脱衣[哈哈]更有天使@杨丞琳 降临。用＂狮吼功＂挑战声音震杯，不可不看的室内泳池实验作战！[鼓掌]8:10和我一起看吧~
0,还有这事？@九寸金钉 //@传媒丽人: 我倒[晕][晕][晕]//@掌生活-天津团购推荐:[吃惊]
1,再次推荐[爱你] //@华茜_fendy:啥也不说了，购买转播，吐血推荐~ //@Chongkalam: wow！@我才是键盘哥
0,我睡觉很老实，一夜无翻滚动作[睡觉]大床只睡一半，床的另一半总是空着，空着空着空着的寂寞，向谁诉说[晕]
0,在跑步机上接到各位大佬的工作电话，在哇啦哇啦哇啦的环境里balabala一顿说，一个耳朵里还是nobody，现正努力回忆刚都说了啥[汗][晕][衰]此外还喊着微信的人竟然没把脸摔肿[嘻嘻]
0,[怒] //@水瓶座人性解读:超准解读啊 ，躺着也中枪 ！
0,注意安全哦 //@苏小Ting:我被困在鼓浪屿了[泪]
1,我弟弟说，这猫有意思，听低调。[嘻嘻]
1,好书再推荐一次[可爱] //@陈-小娇:转发微博
1,[爱你]//@晓玲有话说:[鼓掌][鼓掌]
0,小学生性教育[晕]
1,在雨中。。。[闪电][闪电][白云][白云]@远方的家打工仔 待遇老好了[可爱][嘻嘻][鼓掌][偷笑]各种大腕儿@密斯特余 @远小贱 各种服务[下雨][下雨][下雨][偷笑][偷笑][偷笑]
1,[嘻嘻]偶就这点爱好――臭美！
1,女子怕晒 这一点就是不如男[哈哈][哈哈][哈哈]
0,狂咽口水中[抓狂]胃都反酸水了[泪]
0,回复@BIG__Panda:[泪]我没有//@BIG__Panda:楼主你就瞎扯吧！
1,回复@乌实: 应该是的，再向@Mexico墨西哥旅游 求证下-此音乐画面是否为墨西哥。BTW，我看到最多的是那美女。[哈哈] //@乌实:@DCwhenwho 画面是墨西哥吧？ //@乌实:人是自然的一部分。如果人与自然走向对立，这个世界就不再美丽。
1,支持创业！[爱你]加油啊！
0,回复@荷花一般的情怀:[伤心][伤心][伤心] //@荷花一般的情怀:纠结
0,[泪] 眼泪都要下来了
1,还有在不开心的时候，可以和姐妹们没心没肺地又吼又叫！！ 爱死你们了~~ @elya妞 @Hallofish @李梦梦 @蜡笔米米 [亲亲]
0,停机坪上木有我要乘坐的飞机，用这快餐做补偿，可是。。。。可是。。。。我不要这个啊，我要准点飞，有吗？[失望][失望][失望] 我在这里:http://t.cn/z8AUC6j
0,看到那么一张张天真无邪的脸蛋儿，怎么忍心下手呢？！[怒]//@雅典丝绸之路: 每个幼儿园应查一查有多少这样没有教养的幼儿老师？
1,心与自然对话，童话般的意境。[鼓掌]
0,狐狸精啊狐狸精~朝思暮想的狐狸精！[泪]  //@贺霄:@youyoujill @蛋壳资 @项羽BJ @felix929
1,看图猜人！！@周?-小尖果儿    @谦祥益   @张尧_尧哥   @本命年--国君    @许健铁刨花儿   @刘春山武老板   @张攀CR7   @史清元 [哈哈][哈哈][哈哈][哈哈]
0,MD突然失眠了 我咋一点睡意都没有啊[泪]
0,昨天下雨，快递不送货。我的衣服今天才到。[衰]
0,如此纠结的姿势你也能睡着么？不会是骗我的吧[抓狂]脖子拧着，胳膊拗着，好像被打断了再拼起来一样。。。。。[吃惊]
1,我的春花，我做主！[嘻嘻]
0,?月夜，流鼻涕[晕]
1,它们出自无锡画家的笔和景德镇的窑，不得不感叹与江西的丝丝缕缕真的是无处不在的相逢。[太开心]这是师兄的心头好，怎样才能骗过来？[做鬼脸]
0,#北京突发#【今晨北京地铁8号线故障，导致13号线人满为患！亲们，自寻最后一张图亮点。。。】@赛亚菲--常小欠--BINGO：8号线无车调动，北土城都乱了！//@北漂南飞的雁：今天13号线又发神经，出门都快半小时了，居然还没进入到那个排队通道里！[泪]//@吴书坤：十三号线怎么了？这姑娘的鞋呢？
1,回复@抱枕么么:三四啊~[哈哈] //@抱枕么么:我怎么看见这个都有冲动了[偷笑] //@凌一凡:转
1,我想你了！我已经被一致认为，我太黑了！！！//@Susan?:各?美…[爱你][爱你] //@淡紫SW:太黑了我！[泪]好吧@VilletteWu 你是北京的奇葩，我就做厦门的黑妞好了！[酷]
1,今年国庆去哪里呢？不防让途易帮忙吧！亲爱的小伙伴们，近日途易推出国庆大促活动，10个优惠活动直面袭来，你hold住了吗？这个十一，就让途易带你认识大千世界吧！变幻多姿的旅游路线等着你挑选，你还在犹豫什么？活动正在火热进行中，好机会不容错过哦！[鼓掌][鼓掌][moc转发] http://t.cn/z8xpzEE
1,上次住在隐约客栈，每天出门都经过关门口小吃街[馋嘴]不过说到美食，我觉得大理的更让我回味，而且风味更特别一些，喜洲粑粑是我目前吃过的最好吃的本土pizza[可爱]
0,夏夜中的点睛之笔//@evenjs: 哈哈哈哈，我家院子夏夜有很多很多萤火虫呀[爱你]前几天晴子家还说要组织一次萤火虫童话局呢 //@女巫洛可可:太美了，可惜从没看到过[泪]
1,哈哈哈哈！介不就是美食里的像形名称嘛！@cindy想变瘦 @新浪福建美食[哈哈][哈哈]
0,好心酸 //@?时光:北京有爱吗？[爱心传递] //@魏雪明: 就发生在我公司楼下，我常年在那个小卖部买东西。目前这只狗的情况，只有我一个人知道，所以我非常难过和着急。[泪]
0,想说地铁上没事翻个微博吧。。。结果不知不觉就坐过站了。。。[晕]最近真是大脑缺氧啊。。。[汗][汗][汗]
0,【工作五年之后的13种痛】句句戳人心啊！[泪]
1,@小芬儿_芬达 [哈哈][哈哈]
0,?就是俊男的哀歌[泪]
1,"[嘻嘻][嘻嘻]来静安@香格里拉酒店集团  和@比耶比耶 在夏宫吃饭又有自己家杂志看?好幸福,原本以为只有大堂有[太?]"
1,//@订爱琴海:[哈哈]纯粹的白，浪漫的蓝@三亚爱琴海岸康年酒店 欢迎您的到来！
1,笑哥，大爱无疆，好人一生平安，阿弥陀佛[爱你] //@歌手含笑:[爱心传递]  //@田宝虎子:[心] //@公益小青: [爱心传递]  //@歌手含笑:今天是感恩节，为了可爱的孩子们过一个温暖的冬天，再转！感恩！
0,连续67个版面[生病]//@拖尼熊: 唉//@记者车辉:[衰]//@武晓勃: 鄙视京华时报，最讨厌恶意黑了
0,[衰][衰][衰]何时了啊？
0,【难治的并发症】最近接待了几位患者，人流术后，闭经。数月后诊断为宫腔粘连。B超，宫腔镜都可以协助诊断，治疗。分离粘连后可以上节育环，并用激素治疗。但是内膜受到了损伤，再怀孕有一定的难度，医务界的同仁也努力尝试各种办法，帮助患者圆她们当妈妈的梦想。总之人流不能随便做。[衰][汗]
0,毕业论文写得快吐了。。我傻了非得选个地方税制的鸟题目，中国的垃圾税制再怎么改也变不了变成官员吃喝奢侈的工具！！！[挖鼻屎][怒][怒骂]
1,来而不往非礼也[哈哈]
0,实验室今年顺利毕业四个博士[干杯]，为了将来，以后得好好科研了，不再贪玩了[泪]。 我在这里:http://t.cn/zjoefqD
1,我们是姑娘中的大侠！[哈哈][嘻嘻] //@硕硕哟:哎妈呀，这厮是个姑娘么？
0,"【#朴施厚#：考虑在北京买房】经历了低潮期的朴施厚回归复出地选择中国，主演电影《香气》召开发布会，朴施厚人气不减，老中青三代粉丝齐聚(据说在机场还有""奶奶级""粉丝接机)！欧巴说：找女友不在乎国籍也会找中国女孩，很喜欢北京，考虑想在北京买房....[泪]北京今天又雾霾....http://t.cn/8sco7EL"
1,右边亮了！！[走你]//@Palm_耗子: [嘻嘻]//@咸鱼的行摄生活: 人民日报都表示惊讶[思考]//@人民日报:[吃惊]
1,好美呀 //@京M银狐:[鼓掌][赞]//@刑警视觉:@广顺园主@杨孝文@张泰昌淡出淡入@质量报戴占军@王钧的世界@策划人石文军@Li_Geng@唐绣儿葵儿摄影@小海学摄影@老徐视线@京M银狐 ...
1,喝奶粉的指南......//@兜兜丢了: [哈哈]
0,您老人家能不饭点儿转吗？[抓狂]//@五岳散人:销售经理，你是不是打算赔死洒家。。。
0,[泪] 羡慕ing
0,回复@殳俏:欢迎欢迎指导！让俊男俏女列队??? //@殳俏:啊。。。等下次来深圳[挤眼] //@好酒好蔡:冬夜，还没有吃过此物的...如何心熄！[晕]
0,哈哈。以后每天写的都发我邮箱备份 //@老牛叔叔://@敬大爷: 可喜可?！[太开心] //@闲人一枕清霜:@青青武夷 @武夷华少 @福顺武夷的日记 @DUTY的微博 @野山狐儿 @悠然春晓 @大道为德 @武夷水手 @姚志宏DD [泪][泪][泪]谢谢大家
0,//@创意铺子:[晕] 工资全部拿来做生活费都困难的人你伤不起啊…
1,看来都是夜猫子。我已经喝多了。洗洗睡了。你们尽情happy! //@Antonia-曹媛:江总，今天蹭王总的好酒，跟着江总和王总@比尔王童 总有美食，美酒，没＂景＂..[嘻嘻][嘻嘻]赞！  //@ELEXCON老江:曹总喝几瓶？@Antonia-曹媛
0,到底是沙窝还是砂窝啊[抓狂]好纠结[失望]
1,命苦不要怪政府，手背不要怨社会。师兄们都是好人[可爱]//@-晨光初现-: 哎，这几个哥们当时可没给咱起到啥好榜样，以至于之后的人生走得如此坎坷~ //@hello_titi:青葱岁月啊，还有只可爱的狗狗入镜呢。 //@中青报曹林: 十多学年了，真快。我怎么那姿势。 //@我是刘草儿:太不容易
1,#新店导航#【@大连和茂隆海鲜大排档 】海鲜和菜市场同价位.人均消费70左右，听说老板疯了[哈哈][哈哈][哈哈]趁老板还疯着彪卖，快去捡便宜吧[得意地笑][羞嗒嗒]
1,祝我生日快乐！[嘻嘻][心][蛋糕][礼物]谢谢妈妈爸爸！[爱你]
1,回复@唐韵照相家公鸡先生:[哈哈]节日快乐！早啊！ //@唐韵照相家公鸡先生:你晚上不睡我知道了，现在想知道你早上几点起床？我是当奶爸，才这会儿被不睡着。[哈哈]
0,我太爱这组换鞋凳了，爱死了！[抓狂]  团购吧！
1,回复@梅西巴巴:我觉得我就是你们的吉祥物，去年跟你iPhone4S，今晚跟美丽得iPhone5[哈哈] //@梅西巴巴:去年我错失iPhone4S....这种获奖的难道都和@见证_美丽 @小峻film 等等摄影师有关哟。。[嘻嘻]
0,#肿嬷嬷# 今儿第一次数胎动，@梁大不二      您闺女10次胎动只用了不到10分钟，还没算踹得不疼的那种，看来以后也不是太文静的那种淑妞儿阿[失望]
0,我完了，怎??在越?越喜???怪大叔呢[抓狂][做鬼脸]，?有怪大?！[猪头]
1,Yea[哈哈]//@ATINA_Da: 周末，也来点小清晰@William--K//@GossipGirl绯闻女孩: mp3 download link: http://t.cn/SbnaVl
0,我还记得是讲到千与千寻的小白龙终于记起了自己的真名。。。真是又想哭又想笑啦！[嘻嘻][泪] //@蔡康永: 太少在??上哭，??者?都?一跳，不好意思 ??各位啦。???起?影「?甲?拳／??擂台 real steel」的父子微妙??，就哭啦。。。不?有@小s 安慰，一下就好了。。。
1,“帘外雨潺潺，秋意阑珊。郊野小院入冬寒。众里把盏炭火添，地北天南。酒酣话乐土，轻飘人间。相见不易别时难。河蟹烧烤牛栏山，尽享贪欢！”[嘻嘻] //@董雷-我的名字: 好酒量！[吃惊]
0,#开讲啦#请问，叔儿眼睛也闭上了，你又把人拍扁了，你觉得，他真的会高兴么？[衰]
0,//@Kelepo的微小博: 看???? ??西?南部就已低? 就落在了本?[吃?][衰]
1,"若那样欢乐自由,为何不去流浪?[嘻嘻] //@解天雪:北飞的候鸟 //@王力群Alex:元旦快乐，愿每天开心 //@刘金铭的微博 :真实写照啊"
0,那你不看看第四个，你二哥暗恋师太呢[哈哈] //@托尼滴漂亮妈咪:[抓狂][抓狂][抓狂]怎么我是第二个啊？[抓狂][抓狂][抓狂][泪][泪][泪] //@月落寒霄:俺也娱乐一下。[嘻嘻][嘻嘻][嘻嘻]@宝玲姐姐 @托尼滴漂亮妈咪 @孙_伟光 @爱运动的道长 @整合营销传播推动者
1,这个我有 //@辣妈教室:欧舒丹手霜一直最信赖[兔子]，吸收快又滋润，MM速度围观[太开心]
1,各位爱人@小陶虹 @刘滢同学 @梁静 @邸琨 @邓婕 @张国立 @管虎导演 @黄渤 @王宝强 @花儿大张伟 @徐峥 你们的礼物实在太实在了[哈哈]把延边的孤病残孩子们高兴坏了[酷]那一张张笑脸让人心里暖暖的[太开心]给各位一个大大的拥抱[花心]爱就像呼吸，无法停止...晚安 http://t.cn/zW6EbF2
0,[给力]//@周仕凭: 火，火了[衰]//@大尸凶的漫画: //@听从我心://@作家-天佑:转发微博
0,地铁相对很空啊！[衰][衰][衰][衰] 我在:http://t.cn/zWO1Vcg
0,[失望]王老师说的好！说出来心声！//@王志纲: 说得好！媒体如果不能体现民意，只能附从官声，误国误民！
0,[熊猫]@史俊Robert @荆棘鸟的回声 @大周苏小二 @龙熙温泉度假酒店 百折不挠，参与活动数次了，我要中[抓狂][抓狂][抓狂][抓狂][抓狂][抓狂]
1,我靠，这就约上了。人家刚团聚，你就拆啊。//@小木鱼儿fish：行，给我订张机票，要头等舱的！ //@谷三儿:下班后干什么去，我这晚上有酒局，来吗[嘻嘻]
0,[泪] http://t.cn/zYQOKv2
1,11，12日的对决，西班牙-意大利，法国-英格兰，可惜是在周一和周二。 //@Kent:[鼓掌]强力支持，不过别把我们带坏了啊，好多人还没去过夜店和酒吧呢。。
0,[抓狂][抓狂][抓狂]这颜色太美啦！尤其适合冬天！
1,//@Linda_林林:...  //@Aptor9:抗议抗议//@Apache9://@张家裕JY:[哈哈]//@淘宝正明: [哈哈] //@神棍敌人姐:[哈哈]//@bluedavy:代表伟大的天朝表示强烈的抗议，天朝的网络是全世界最自由，最开放的，访问不了这个叫什么facebook的网站是因为这个网站太烂了，每次天朝人民一访问就挂。
0,//@FBI机密档案:[泪]终于发现一个关注“女性健康养生”微博，想了解更多女士养生小知识，特别推荐关注@女士养生必修课 [good]
1,@梦猫猫-蓝点 //@雯旭旭: 石化??? //@我是唐小玲:NBSL //@elsainshanghigh:太精辟，需要学习的好词儿 //@麻辣情医吴迪:TWITTER最火的与中国有关的英文单词。好玩！[哈哈]
0,//@刘仰: 啥意思？ //@紫贝竹: //@陈彤春日迟迟: //@编剧王伊: 只能这样吗？[泪] //@编剧陈文杰: //@编剧杨军: //@胡红一: 同感 ！ [钟] //@汪海林 : 帮转 ，剧本是可以单独欣赏的 ，编剧的劳动只有在 文字这个层面上才完全属于自己 。
0,[衰] //@大新哥:所以现在还活着的中国人都是唐门后裔，百毒不浸呢 //@小兔的小小窝:在中国，还有什么是安全的？[哼] //@何智韬: 惨不忍睹//@财新周琼: 何止1000家？全国4000多家出水厂，实际上50%以上的水厂出水质量不合格。当高铁、高速路大跃进时，自来水工程，这个最基础的民生工程，被完全忽视
0,[晕]想休息一会，被冷醒，全国人民羡慕嫉妒恨吧
0,回复@房大姑奶奶:[泪][泪]LN不分！对！03年，显老！长的象93年的[衰] //@房大姑奶奶:我说，是93年吗？03年吧。。。 //@黄天space:回复@荆棘鸟之最后的绝唱:都为受害方[衰]，院里宅三年了[汗]  //@荆棘鸟之最后的绝唱:车技真不咋地，把车撞成这样！
1,@我的10后奶奶 切蛋糕咯！！@老徐家二小姐 @星爷-以德服人 @GaoGao_Jane [鼓掌]  [手套][蛋糕][心]
0,#安娜，卡列尼那#好纠结的伦理片[泪][泪][泪][泪]累啊！ 我在#世贸天阶# http://t.cn/zOrGtsY
0,复习一天，要吐啦?[晕][抓狂]希望明天考试通过??@瞧瞧看看的烙饼可好看了 我在这里:http://t.cn/zjcyQQ4
0,//@中俊崔春婷: [泪]//@裁一片美丽的浮萍: 做人难，做狗也不易！//@制片人方励:下令全城打狗的病态市长该下课了 ！//@陈秋平Joseph: 夜幕下的哈尔滨！！！//@编剧李晖: [泪][泪][泪][怒][怒][怒] //@黑妹小乖妈:打开这些图片看看，这是怎样的生死
0,亲，大早晨起来还让不让人睡觉啦亲，下午的事儿中午通知就好了嘛亲...今儿是礼拜日呀！亲，咱可不可以不打扰人睡觉呀亲！！！[睡觉][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][哼][哼][哼][哼][哼][哼][哼][哼]
0,[衰] //@乐友江波: 转//@老郭007://@张栋伟: 转发微博
0,我可以回家了么。。[泪]
0,餐毕，开始上演「亲戚聚会拷问大纲」了！[泪][泪][泪]
1,没让你吃好，我们会继续努力[可爱] //@秋叶影舞:吃过 但是觉得味道一般般 你吃过吗@背后有阳光o0 //@笑的合不拢腿: 北京菊儿人家！！北京吃货全攻略每日分享北京那些美食~赶紧加入一起寻找北京美食吧！
0,还记得我这个手机么？？现在淘宝上比09年那时买少个零。。。心里突然很憋屈。。原来我也被和过。。[泪][泪]@甜硪滴?人
1,必须的，八喜呢[嘻嘻]
1,安全抵达乌市[飞机] 地面16摄氏度，短袖仔裤加披肩，肩扛比我上身还长的背包，亚历山大。我在遥远的地方迎接27岁！[太开心] 晚安[月亮] #北疆行#
0,我觉得我要分裂了....如果我真分裂了，我都不知道要哪个我自己！[泪]
1,这锅到你家把作用最大化啦[鼓掌][鼓掌][鼓掌]
0,什么破微博，刷新不了[怒] 我在:http://t.cn/8FMPduY
